customer_id,age,subscription_plan,subscription_months,monthly_fee,watch_hours_monthly,movies_watched_monthly,days_since_last_login,devices_used,avg_session_minutes,downloads_monthly,payment_method,payment_failures,customer_complaints,support_tickets,price_increase_exposed,content_satisfaction,recommendation_satisfaction,account_age_months,is_churned
NET10041,32,Standard,4,399,20.2,9,5,4,54,6,UPI,0,1,2,No,6.2,7.2,6,0
NET10042,29,Basic,2,219,11.2,6,5,1,84,3,Net Banking,1,2,2,No,8.1,6.6,3,0
NET10043,28,Basic,20,219,15.1,8,2,2,35,4,UPI,0,1,1,No,6.9,2.3,24,0
NET10044,17,Premium,2,669,23.2,17,1,3,62,11,Debit Card,0,0,2,No,5.8,5.8,2,0
NET10045,24,Standard,1,379,19.2,12,4,3,40,2,Debit Card,0,1,1,No,9.4,4.5,4,0
NET10046,26,Basic,13,199,14.6,9,9,6,5,4,UPI,0,0,1,Yes,6.8,9.2,15,0
NET10047,40,Basic,3,199,35.9,26,13,2,28,4,Net Banking,0,0,1,No,6.8,7.6,7,0
NET10048,34,Basic,2,179,11.2,6,5,1,34,4,Credit Card,0,0,1,Yes,8.4,7.7,3,0
NET10049,15,Premium,55,649,34.1,23,4,6,80,6,UPI,1,1,1,No,8.4,5.7,55,0
NET10050,33,Premium,4,669,28.7,16,20,5,39,2,Debit Card,0,0,1,Yes,6.5,8.1,4,0
NET10051,27,Basic,32,219,9.7,5,1,2,8,5,UPI,0,0,1,No,6.7,7.7,35,1
NET10052,24,Standard,2,379,67.3,44,0,4,30,6,UPI,0,0,0,No,8.0,9.6,5,0
NET10053,36,Basic,23,219,16.6,8,4,2,65,4,UPI,1,3,3,No,8.5,7.8,28,0
NET10054,40,Premium+,9,949,38.4,17,0,5,28,4,UPI,0,0,1,Yes,4.5,7.5,11,0
NET10055,39,Premium+,1,899,44.6,31,0,1,31,6,Credit Card,0,0,1,No,7.7,7.9,1,0
NET10056,23,Premium,18,669,26.7,19,0,4,38,6,Credit Card,1,0,0,No,9.2,3.4,19,0
NET10057,28,Premium+,31,919,31.2,19,5,4,43,2,Wallet,0,0,0,No,6.4,10.0,32,0
NET10058,33,Premium,2,699,26.3,14,5,3,48,6,UPI,0,0,0,No,7.2,7.9,4,0
NET10059,39,Premium,18,649,17.6,9,1,3,50,3,UPI,0,1,1,No,5.9,5.9,18,0
NET10060,26,Standard,8,399,11.2,6,3,2,25,6,UPI,1,0,0,No,7.9,4.6,11,0
NET10061,29,Standard,19,449,1.7,0,3,5,64,4,UPI,0,1,2,No,3.7,6.7,24,1
NET10062,21,Basic,17,199,10.7,6,4,4,42,1,UPI,0,1,1,Yes,7.5,9.0,18,1
NET10063,20,Standard,1,379,17.8,8,1,2,27,4,UPI,0,0,0,No,5.5,10.0,5,0
NET10064,38,Premium,2,699,30.9,14,10,1,47,2,UPI,0,0,1,No,5.8,9.1,4,0
NET10065,43,Basic,8,199,20.9,11,2,1,66,3,UPI,0,0,0,Yes,9.1,8.8,9,0
NET10066,30,Standard,37,399,7.9,5,2,5,52,8,Wallet,0,0,1,Yes,7.8,8.2,41,0
NET10067,40,Standard,5,399,7.1,3,6,1,49,7,Credit Card,1,0,0,No,6.3,4.4,9,1
NET10068,34,Basic,13,219,21.1,10,23,2,36,3,Debit Card,0,1,2,No,5.0,7.8,14,0
NET10069,25,Standard,1,449,49.7,24,1,3,48,6,Net Banking,0,1,1,Yes,6.1,7.4,3,0
NET10070,34,Premium+,17,949,56.3,28,2,3,20,8,Credit Card,0,0,0,Yes,6.3,9.5,21,0
NET10071,44,Premium,12,649,24.1,11,2,3,28,2,Net Banking,1,2,2,No,8.7,5.4,16,0
NET10072,30,Premium,17,699,14.8,6,4,4,40,4,UPI,0,0,0,No,6.9,5.5,17,0
NET10073,45,Standard,32,449,20.0,11,10,4,29,5,UPI,0,0,1,No,5.4,7.2,37,0
NET10074,15,Standard,2,399,7.1,3,7,2,36,2,Debit Card,0,0,0,No,7.7,6.8,7,0
NET10075,38,Basic,4,249,50.1,31,1,3,23,5,UPI,0,1,1,No,8.9,9.6,9,0
NET10076,31,Premium,76,699,17.6,9,7,2,42,6,UPI,0,1,2,No,3.0,8.3,76,0
NET10077,28,Basic,2,179,18.1,9,0,2,44,2,Credit Card,0,0,0,Yes,6.4,8.6,7,1
NET10078,31,Basic,17,199,6.4,4,1,2,27,3,Debit Card,0,0,1,Yes,7.7,8.6,17,0
NET10079,15,Premium,18,629,45.3,23,3,2,71,6,UPI,0,1,2,No,3.8,5.2,22,0
NET10080,29,Basic,16,219,22.0,10,2,3,38,6,UPI,1,2,3,No,7.3,6.3,20,0
NET10081,34,Standard,3,399,15.6,10,12,3,49,5,UPI,1,2,2,Yes,9.0,8.6,5,0
NET10082,44,Basic,3,249,11.8,8,34,1,26,5,Debit Card,1,0,0,No,3.9,6.8,6,1
NET10083,26,Basic,15,249,11.6,6,1,1,28,1,UPI,0,0,0,No,6.9,6.2,15,0
NET10084,23,Basic,2,179,9.8,6,6,5,44,0,UPI,0,1,1,Yes,5.3,10.0,7,1
NET10085,26,Basic,15,179,27.2,13,5,6,39,5,Debit Card,0,2,2,No,8.1,7.4,18,1
NET10086,39,Premium,9,669,29.5,15,8,4,63,2,UPI,0,2,2,Yes,6.6,7.3,9,1
NET10087,33,Premium,6,669,31.6,23,7,6,51,6,UPI,1,1,1,Yes,6.0,8.4,11,0
NET10088,26,Standard,4,449,31.6,15,1,4,32,6,Wallet,0,1,1,Yes,7.5,10.0,4,0
NET10089,35,Premium,41,649,38.1,21,11,3,61,2,UPI,0,0,0,No,7.6,6.8,46,0
NET10090,31,Basic,9,219,8.8,5,3,4,35,4,Credit Card,1,1,3,Yes,7.4,5.0,11,1
NET10091,39,Standard,11,449,52.8,33,16,3,34,3,UPI,0,0,1,No,8.6,5.1,13,0
NET10092,24,Basic,41,219,17.2,11,4,3,31,5,UPI,1,0,0,No,6.8,9.4,42,0
NET10093,28,Premium,14,649,29.4,16,2,4,39,6,UPI,0,0,0,No,6.5,9.3,14,0
NET10094,27,Standard,44,379,19.8,15,13,1,28,4,UPI,0,0,0,No,6.1,7.4,44,0
NET10095,17,Premium,1,699,19.7,9,10,3,31,2,UPI,0,0,1,No,6.3,8.4,1,0
NET10096,33,Premium,26,669,12.3,6,17,5,60,3,UPI,0,0,1,No,8.8,7.5,28,0
NET10097,33,Standard,5,379,23.1,11,13,2,50,3,Debit Card,0,1,1,Yes,9.2,7.7,10,0
NET10098,31,Premium,23,649,45.4,24,1,3,39,3,UPI,0,0,0,Yes,7.7,5.7,23,0
NET10099,28,Premium+,27,919,53.9,34,10,3,60,3,UPI,0,1,1,No,6.4,5.6,28,0
NET10100,18,Standard,4,449,22.0,11,5,3,38,2,Credit Card,0,0,1,Yes,8.1,8.1,8,0
NET10101,27,Standard,7,399,61.2,43,0,3,43,3,UPI,0,0,1,No,8.6,7.2,8,0
NET10102,27,Premium,18,629,52.2,33,0,4,20,3,Credit Card,1,0,0,No,6.7,6.8,23,0
NET10103,23,Premium,1,629,16.7,12,7,3,61,3,Debit Card,0,1,1,Yes,7.9,3.8,5,1
NET10104,29,Basic,19,199,11.2,5,11,1,56,0,UPI,0,0,0,No,6.8,7.8,21,0
NET10105,34,Standard,1,449,17.6,8,5,6,34,4,Debit Card,0,0,0,No,7.4,9.0,6,0
NET10106,47,Standard,34,399,12.2,7,2,5,48,5,UPI,0,2,2,No,7.4,5.4,37,0
NET10107,32,Standard,4,399,19.9,11,0,2,32,3,Wallet,0,1,1,No,6.8,8.3,9,0
NET10108,33,Basic,11,199,5.4,2,6,3,24,2,Credit Card,0,2,2,Yes,5.6,5.8,13,1
NET10109,30,Premium+,1,949,57.0,29,3,3,31,5,Credit Card,0,1,1,No,5.5,5.8,4,0
NET10110,15,Premium,4,669,36.4,18,4,3,32,2,Credit Card,0,0,0,No,10.0,3.2,8,0
NET10111,30,Standard,7,419,22.2,13,4,4,15,5,Wallet,0,0,0,Yes,8.4,3.4,10,0
NET10112,31,Premium,9,699,19.8,12,8,3,12,6,Debit Card,0,0,0,No,5.0,4.4,13,0
NET10113,53,Premium,1,649,26.1,18,4,2,19,3,UPI,1,1,1,No,8.0,7.1,6,0
NET10114,29,Basic,30,199,11.2,8,4,4,36,2,UPI,0,0,0,No,6.2,7.5,33,0
NET10115,33,Standard,1,449,100.1,47,0,3,26,7,UPI,0,1,1,No,9.0,9.3,5,0
NET10116,30,Standard,20,449,11.2,5,3,3,54,5,Net Banking,0,0,0,No,7.0,7.2,25,0
NET10117,20,Premium,8,669,15.6,10,5,4,60,8,UPI,0,0,0,No,6.8,3.6,11,0
NET10118,41,Basic,10,199,9.2,6,0,1,28,3,Net Banking,1,0,0,Yes,4.2,6.8,14,1
NET10119,37,Premium+,3,919,24.2,15,7,2,27,1,Credit Card,0,0,0,No,6.3,6.0,4,1
NET10120,38,Standard,13,399,67.1,31,0,4,68,4,Credit Card,0,0,0,No,8.2,8.1,13,0
NET10121,22,Standard,10,399,17.2,10,2,2,61,2,Debit Card,0,0,0,Yes,8.5,4.9,11,1
NET10122,43,Standard,2,379,11.0,5,5,5,23,2,UPI,0,1,1,No,6.2,6.6,4,0
NET10123,18,Basic,3,249,20.8,10,1,1,50,4,UPI,0,0,0,No,9.4,6.4,6,0
NET10124,36,Premium,1,649,9.6,4,6,4,62,6,UPI,1,0,1,Yes,5.7,4.8,6,1
NET10125,50,Premium+,1,899,23.5,13,0,2,37,1,UPI,0,0,0,No,7.4,6.7,5,0
NET10126,22,Standard,1,419,7.9,3,6,2,45,7,Net Banking,1,0,0,Yes,4.4,7.0,2,1
NET10127,25,Premium+,3,919,18.0,9,7,1,21,5,Net Banking,0,0,2,No,7.8,10.0,4,0
NET10128,31,Premium,15,649,2.2,1,7,2,39,2,UPI,0,0,0,Yes,7.2,6.0,20,1
NET10129,26,Standard,5,419,33.8,17,8,3,61,8,Net Banking,0,0,0,No,4.0,10.0,9,0
NET10130,17,Premium,5,629,49.0,28,4,3,22,3,UPI,0,2,2,No,4.3,3.7,8,0
NET10131,31,Standard,1,449,19.8,9,12,3,55,3,UPI,0,0,0,No,9.7,4.2,6,0
NET10132,21,Standard,11,379,18.5,9,1,2,30,1,Net Banking,0,1,1,No,8.1,7.0,13,0
NET10133,35,Basic,5,199,12.4,6,2,6,59,4,Wallet,0,0,0,No,9.7,8.9,7,0
NET10134,22,Premium,15,649,30.2,17,18,6,53,3,Credit Card,1,0,1,No,5.9,7.4,20,0
NET10135,44,Basic,18,179,20.1,14,9,4,44,6,Credit Card,1,0,1,No,6.8,3.3,20,0
NET10136,23,Premium,12,629,58.8,28,8,4,16,2,Debit Card,0,1,1,No,5.0,7.5,16,0
NET10137,28,Premium,4,669,30.2,18,7,2,45,4,Net Banking,0,0,0,Yes,5.8,5.4,5,1
NET10138,38,Basic,9,219,11.3,6,0,1,55,4,Debit Card,0,1,1,Yes,5.0,7.6,14,1
NET10139,19,Standard,4,419,40.6,26,18,3,54,2,Credit Card,0,0,2,No,6.6,6.6,6,0
NET10140,33,Standard,32,399,7.3,4,2,4,15,7,Debit Card,0,0,0,Yes,7.7,7.4,33,0
NET10141,42,Standard,20,379,57.6,28,0,3,66,6,Net Banking,0,0,0,Yes,6.5,7.7,25,0
NET10142,16,Standard,9,449,20.5,13,0,1,75,1,Net Banking,0,0,0,Yes,6.2,6.6,11,0
NET10143,32,Standard,47,419,27.8,13,2,3,29,4,Credit Card,0,0,0,No,8.4,7.1,49,0
NET10144,33,Standard,11,399,35.4,21,6,3,59,8,Debit Card,0,0,0,Yes,6.0,6.1,16,0
NET10145,38,Basic,5,199,25.6,11,2,5,21,1,UPI,0,0,0,No,5.2,7.9,8,0
NET10146,19,Basic,1,219,31.3,16,9,3,26,2,UPI,1,0,0,Yes,8.2,7.6,5,0
NET10147,19,Basic,10,199,10.4,6,1,2,37,8,Net Banking,1,0,0,Yes,4.0,7.1,13,1
NET10148,35,Premium,27,629,21.5,9,1,5,21,1,UPI,1,1,1,Yes,10.0,9.3,28,0
NET10149,33,Premium+,28,919,29.4,16,1,3,83,3,Credit Card,0,0,0,No,9.0,5.2,29,0
NET10150,33,Standard,12,449,24.3,12,0,4,61,4,UPI,1,0,0,No,7.2,3.3,17,0
NET10151,34,Standard,6,379,20.7,12,10,3,63,6,Credit Card,0,0,0,Yes,9.1,7.3,10,0
NET10152,24,Basic,14,199,22.5,15,0,2,47,2,Wallet,0,0,0,No,6.0,3.8,16,0
NET10153,33,Standard,20,449,17.1,7,2,1,51,3,Debit Card,0,1,1,Yes,5.0,9.9,24,1
NET10154,33,Basic,7,179,6.8,4,3,4,31,1,UPI,0,1,1,No,5.6,4.4,9,1
NET10155,24,Premium,9,699,7.2,3,1,4,52,5,UPI,0,0,0,Yes,5.6,8.9,9,0
NET10156,47,Premium+,15,899,79.2,37,3,1,53,2,UPI,0,0,1,No,7.7,6.9,15,0
NET10157,35,Basic,29,219,3.3,2,7,2,33,6,Credit Card,0,1,1,No,8.6,8.3,33,0
NET10158,20,Premium,21,699,28.0,19,0,1,27,7,UPI,0,0,0,No,6.5,5.5,21,0
NET10159,36,Basic,1,219,17.8,9,3,4,58,5,Wallet,1,1,1,No,7.5,5.1,1,0
NET10160,22,Standard,1,399,19.7,14,0,5,34,4,Credit Card,0,0,0,No,8.9,7.9,2,0
NET10161,38,Basic,26,199,50.8,30,6,4,34,5,Net Banking,0,0,2,No,8.4,7.6,28,0
NET10162,41,Standard,25,449,54.3,30,4,2,40,4,Debit Card,0,1,2,No,7.2,2.3,30,0
NET10163,23,Basic,6,249,5.0,3,9,4,79,7,UPI,0,1,1,Yes,4.8,5.7,6,1
NET10164,39,Standard,12,399,24.8,12,6,4,46,3,UPI,0,1,1,Yes,5.3,6.9,15,0
NET10165,34,Standard,33,449,16.8,9,10,3,32,2,Credit Card,0,1,1,No,6.7,8.4,34,0
NET10166,38,Standard,33,449,14.7,8,12,2,47,4,UPI,0,2,2,No,6.2,7.0,35,0
NET10167,48,Premium,21,699,8.9,5,1,3,37,2,UPI,0,0,0,Yes,5.5,6.1,22,0
NET10168,28,Premium+,3,949,32.1,15,5,3,64,5,Wallet,2,1,1,No,7.6,6.0,6,0
NET10169,24,Standard,18,379,29.5,22,1,2,60,5,UPI,0,0,0,No,6.3,5.2,23,0
NET10170,22,Basic,1,199,2.9,2,1,1,78,5,UPI,0,1,1,No,6.6,9.8,3,1
NET10171,23,Standard,31,399,18.4,8,1,1,46,5,Wallet,0,1,1,Yes,10.0,7.4,35,0
NET10172,30,Premium,2,649,3.4,2,2,1,60,1,Credit Card,0,1,1,No,7.4,6.9,6,1
NET10173,34,Standard,15,419,47.9,33,9,5,54,1,Credit Card,1,0,0,No,6.1,4.9,16,0
NET10174,33,Standard,13,399,35.6,16,2,4,41,1,Credit Card,0,0,0,No,6.7,9.3,18,0
NET10175,38,Basic,21,249,20.0,10,8,1,46,3,Net Banking,0,0,0,No,9.6,10.0,25,0
NET10176,31,Standard,11,449,27.9,14,0,3,33,3,Credit Card,0,1,1,No,4.2,5.9,13,1
NET10177,44,Standard,1,379,40.4,23,5,5,23,2,UPI,0,1,1,No,6.2,8.0,4,0
NET10178,28,Premium+,17,879,28.9,20,1,4,55,2,Wallet,0,0,0,No,7.2,7.6,20,0
NET10179,55,Premium,6,629,20.4,12,8,5,31,4,UPI,0,0,0,Yes,7.9,7.1,10,0
NET10180,36,Basic,5,179,31.7,16,28,2,48,3,Credit Card,1,0,0,Yes,10.0,7.5,5,1
NET10181,23,Standard,67,379,23.6,13,4,2,13,6,Debit Card,0,1,1,No,6.7,7.0,67,0
NET10182,21,Basic,12,179,27.6,14,4,1,64,2,UPI,0,0,0,Yes,5.9,7.0,17,0
NET10183,35,Standard,17,379,24.8,18,21,2,23,8,Net Banking,2,0,1,No,6.6,3.7,17,1
NET10184,28,Premium,10,629,22.9,12,2,1,65,5,Credit Card,0,1,1,No,7.8,5.3,14,0
NET10185,37,Standard,20,379,10.5,5,3,5,51,8,Wallet,0,0,1,No,7.2,6.2,24,0
NET10186,35,Standard,19,399,27.4,12,7,5,46,7,UPI,0,0,0,No,6.5,7.9,23,0
NET10187,30,Basic,14,179,4.6,2,4,4,37,1,Credit Card,0,0,0,Yes,5.8,5.3,16,1
NET10188,23,Premium,85,669,32.5,17,8,3,52,8,Debit Card,0,0,0,Yes,3.3,7.7,85,1
NET10189,17,Premium,8,629,11.6,6,3,1,22,4,Debit Card,0,2,2,No,6.6,7.7,9,1
NET10190,26,Standard,17,449,43.1,31,7,4,56,4,UPI,0,2,3,Yes,8.3,9.6,22,0
NET10191,38,Basic,22,249,56.0,26,8,5,41,3,Credit Card,0,1,2,No,6.0,6.2,24,0
NET10192,32,Standard,6,379,22.6,11,6,3,45,6,Net Banking,0,1,1,No,6.2,7.7,11,0
NET10193,19,Premium+,8,879,68.1,38,0,4,19,6,Net Banking,0,1,2,No,7.5,9.3,13,0
NET10194,32,Standard,48,449,33.7,16,4,3,13,3,Credit Card,0,0,0,No,8.1,7.5,50,0
NET10195,34,Standard,1,419,8.6,4,20,3,40,3,Credit Card,0,0,0,No,9.7,7.6,5,0
NET10196,23,Standard,5,399,15.4,8,0,2,35,4,Debit Card,0,0,2,Yes,4.1,9.2,9,1
NET10197,32,Premium,9,649,26.9,15,7,1,42,4,Net Banking,0,0,0,Yes,7.0,4.8,11,1
NET10198,31,Standard,1,449,23.6,11,9,1,31,3,Wallet,0,0,1,No,7.4,6.2,5,0
NET10199,20,Basic,32,179,14.1,6,6,2,50,6,UPI,0,0,0,Yes,8.2,7.0,32,0
NET10200,34,Standard,4,399,27.8,16,0,4,38,5,UPI,0,0,0,No,7.1,6.0,6,0
NET10201,36,Premium,4,629,73.8,39,0,2,5,2,Debit Card,0,1,1,Yes,6.0,5.6,9,0
NET10202,40,Premium,24,649,10.3,6,4,2,36,4,Debit Card,0,1,2,Yes,7.7,5.8,26,0
NET10203,40,Premium,4,649,25.6,11,2,1,44,7,UPI,0,1,1,No,6.0,6.5,6,0
NET10204,18,Standard,15,449,65.0,33,0,2,48,3,UPI,0,0,0,No,8.2,7.2,19,0
NET10205,22,Basic,24,199,14.4,6,1,2,43,8,Credit Card,0,0,0,Yes,4.1,9.4,26,0
NET10206,35,Premium+,22,899,19.2,12,10,3,10,2,UPI,0,0,2,No,7.9,9.2,23,0
NET10207,35,Standard,21,399,29.4,18,11,2,63,7,Wallet,0,0,0,No,6.3,7.0,22,0
NET10208,35,Premium,1,629,19.5,9,0,4,25,5,Credit Card,1,0,1,Yes,7.7,6.5,1,0
NET10209,65,Premium,1,699,57.9,37,10,3,66,5,Debit Card,0,1,1,Yes,9.1,8.8,3,0
NET10210,36,Standard,5,419,33.6,20,6,1,39,3,Credit Card,0,0,0,No,7.4,6.5,7,0
NET10211,41,Basic,1,199,2.6,1,3,2,71,4,UPI,2,0,0,Yes,6.6,7.4,6,1
NET10212,39,Premium,9,649,17.1,9,0,4,57,4,UPI,0,1,1,No,6.8,6.7,13,0
NET10213,36,Premium,7,699,54.7,34,6,3,57,2,Credit Card,0,0,1,Yes,3.6,4.7,12,1
NET10214,28,Standard,11,379,18.5,11,1,3,24,4,UPI,1,1,1,Yes,7.3,8.0,14,0
NET10215,37,Standard,4,399,20.9,10,4,3,18,3,UPI,0,0,0,No,7.5,6.8,9,0
NET10216,24,Basic,9,199,31.8,22,1,2,90,3,UPI,0,0,0,Yes,5.6,5.1,12,1
NET10217,28,Basic,5,249,31.5,14,12,5,37,7,UPI,1,1,1,No,8.3,4.1,7,0
NET10218,26,Standard,3,449,16.1,9,2,2,46,8,Credit Card,0,0,0,Yes,9.1,8.1,3,0
NET10219,31,Standard,14,449,15.6,7,6,4,49,4,UPI,1,0,1,Yes,8.0,5.0,15,0
NET10220,51,Premium+,15,899,19.1,9,4,1,64,5,UPI,0,0,0,Yes,6.8,6.0,17,0
NET10221,15,Premium,24,649,58.1,30,14,2,24,3,UPI,0,1,1,No,7.1,5.2,26,0
NET10222,37,Premium,29,699,53.9,32,1,2,46,1,Debit Card,1,0,0,No,9.0,9.6,29,0
NET10223,16,Standard,17,399,5.9,4,18,2,21,8,Debit Card,0,0,1,No,8.7,5.9,17,0
NET10224,26,Basic,16,179,27.8,14,8,5,25,5,UPI,0,0,0,Yes,9.5,6.9,19,0
NET10225,40,Premium+,1,919,25.6,11,7,4,45,5,UPI,0,0,1,No,8.1,10.0,3,0
NET10226,31,Standard,1,399,44.3,25,11,2,77,1,Net Banking,0,0,0,No,7.7,8.6,3,0
NET10227,21,Basic,23,199,2.4,1,6,4,47,2,UPI,0,1,2,No,8.8,5.3,27,0
NET10228,24,Standard,3,419,24.5,13,0,3,5,5,UPI,0,0,0,Yes,7.1,6.7,4,0
NET10229,37,Premium,6,669,24.3,16,7,2,42,2,Credit Card,0,1,1,No,7.4,8.0,10,0
NET10230,24,Premium,2,649,47.1,31,3,3,42,5,Credit Card,0,0,0,No,7.8,8.1,6,1
NET10231,32,Basic,3,199,8.8,4,4,2,83,4,UPI,0,0,0,Yes,5.4,9.4,4,0
NET10232,31,Premium,20,649,51.6,27,3,4,33,3,UPI,2,0,1,No,6.0,7.9,22,0
NET10233,25,Standard,4,449,39.4,23,1,4,9,5,Debit Card,0,0,0,No,6.4,10.0,7,0
NET10234,50,Basic,8,179,23.9,11,3,1,65,5,Credit Card,0,0,0,Yes,9.1,8.6,9,0
NET10235,36,Premium,2,699,8.3,4,0,3,17,4,UPI,0,0,0,No,6.3,8.3,2,1
NET10236,15,Premium,15,669,19.0,9,0,3,21,4,UPI,0,0,0,No,4.2,9.2,17,0
NET10237,32,Standard,18,419,38.0,17,4,3,49,4,UPI,0,0,0,Yes,7.5,6.3,19,0
NET10238,25,Standard,6,419,24.1,12,1,2,50,2,Credit Card,0,2,2,Yes,3.5,8.6,7,1
NET10239,38,Premium,21,649,19.7,9,5,1,43,1,Credit Card,1,1,1,No,5.7,8.2,26,0
NET10240,23,Premium,3,649,16.0,9,1,2,34,7,UPI,0,0,0,Yes,6.6,6.1,4,0
NET10241,29,Premium,16,699,9.7,4,9,3,72,5,UPI,0,1,1,No,7.2,6.3,19,0
NET10242,35,Standard,18,399,21.3,10,0,3,48,0,UPI,0,2,2,No,7.2,5.6,22,0
NET10243,38,Premium+,48,879,108.0,80,0,5,61,3,Debit Card,0,0,1,No,8.0,9.3,52,0
NET10244,20,Premium+,3,879,26.7,12,3,2,46,3,UPI,0,0,0,No,7.9,5.1,8,0
NET10245,27,Basic,1,249,20.3,12,5,2,66,5,Debit Card,0,0,0,No,6.6,8.9,2,0
NET10246,26,Premium,4,669,27.7,16,3,3,49,4,UPI,0,0,0,Yes,7.9,6.9,5,0
NET10247,25,Standard,1,379,11.6,5,6,2,35,3,Credit Card,0,2,2,No,6.6,6.6,5,1
NET10248,46,Standard,2,399,40.8,26,8,4,24,2,Credit Card,0,0,0,Yes,2.7,8.8,5,1
NET10249,34,Premium,5,649,45.9,34,0,6,41,4,Net Banking,0,0,0,No,7.8,7.5,7,0
